name,scientificName,type,tldr,description,productUsing,negativeReactionsWith,source,comparableTo
Grapeseed Oil,Vitis Vinifera (Grape) Seed Oil,Plant,"Anti-Aging / Antioxidant, Soothing / Anti Inflmmatory","An antioxidant-rich emollient, this plant oil derived from grape seeds nourishes the skin while removing oil-based impurities gently. It has a high content of linoeleic acid, vitamin E and phenolic compounds, and an anti-inflammatory effect.",https://www.notion.so/Living-Cleansing-Balm-86b5d7c5fbfb436e8c3710d8dbeabfbf,,https://thenimetyou.com/products/living-cleansing-balm,
Green Tea,Camellia Sinensis Leaf Extract,Plant,"Anti-Aging / Antioxidant, Soothing / Anti Inflmmatory","Also known as camellia sinensis, green tea is a well-studied antioxidant that is rich in polyphenols. Polyphenols in green tea provide anti-aging and skin calming properties, treating UV-exposed skin.",https://www.notion.so/Soothing-Tea-Cleansing-Gel-f8e7d685b05c4a87b423db99bb15be62,,https://thenimetyou.com/products/soothing-tea-cleansing-gel,
Heat,,,,,,,,
Hyaluronic Acid,,"Naturally Produced from Body, Synthetic","Anti-Aging / Antioxidant, Cell Regeneration, Hydration, Plumping","Hyaluronic Acid is naturally produced in our bodies and is actually not an acid! It binds with water in our body, cushioning and lubricating our tissue to help the elasticity of our skin. It can retain 1000x its weight in water in our cells. It can be injected, consumed, and topically applied.",,,https://www.byrdie.com/what-is-hyaluronic-acid,"https://www.notion.so/Xilogel-c8d5b14e041a4698bedf4c4ac2e75bb4, https://www.notion.so/Glycerin-1dd38e630d5b4950800c8f6f355c11af"
Kojic Acid,,,,,,,,
Licorice Root,Glycyrrhiza Glabra (Licorice) Root Extract,Plant,"Anti-Aging / Antioxidant, Brightening","Gentle, effective antioxidant and natural skin brightener that effectively evens out skin tone, while reducing free radicals.",https://www.notion.so/Soothing-Tea-Cleansing-Gel-f8e7d685b05c4a87b423db99bb15be62,,https://thenimetyou.com/products/soothing-tea-cleansing-gel,
Marshmallow Root,Althaea Officinalis Root Extract,Plant,"Anti-Aging / Antioxidant, Hydration, Soothing / Anti Inflmmatory","This anti-aging plant extract reduces inflammation and fine lines, as well as hydrates and protects the skin. Made up of polysaccharides and flavonoids, it also contains mucilage, a dewy substance with skin-softening and antioxidant properties.",https://www.notion.so/Birch-Milk-Refining-Toner-ee800ab6c95a4275ac56ea0cfd46fcfd,,https://thenimetyou.com/products/birch-milk-refining-toner,
Olive Oil,Olea Europaea (Olive) Fruit Oil,Plant,"Anti-Aging / Antioxidant, Soothing / Anti Inflmmatory",This nourishing antioxidant high in oleic acids and hydrophilic phenols has anti-aging and anti-inflammatory benefits. The combination of olive and seaberry oils helps to restore compromised barriers.,"https://www.notion.so/Living-Cleansing-Balm-86b5d7c5fbfb436e8c3710d8dbeabfbf, https://www.notion.so/Birch-Milk-Refining-Toner-ee800ab6c95a4275ac56ea0cfd46fcfd",,https://thenimetyou.com/products/living-cleansing-balm,
Persimmon Extract,Diospyros Kaki Fruit Extract,Plant,"Acne, Anti-Aging / Antioxidant, Brightening","Also known as dispyros kaki, this extract is a free radical scavenger that prevents premature aging and photo damage. It is known for its skin brightening effect by reducing melanin levels, and can also regulate sebum production.",https://www.notion.so/Living-Cleansing-Balm-86b5d7c5fbfb436e8c3710d8dbeabfbf,,https://thenimetyou.com/products/living-cleansing-balm,
Polyglutamic Acid,,Acid,Hydration,"This water-soluble peptide holds four times more moisture than hyaluronic acid, and leaves skin radiant and hydrated.",https://www.notion.so/The-Giving-Essence-00ddcc1eae214222bdb8107b0ddbc11d,,https://thenimetyou.com/products/the-giving-essence,
Red Algae,Corallina Officinalis Extract,Plant,"Anti-Aging / Antioxidant, Brightening, Exfoliating","This sea plant contains a high concentration of calcium, which gently exfoliates the skin, removing dead skin cells, reducing fine lines and hyperpigmentation, and brightening complexion.",https://www.notion.so/The-Giving-Essence-00ddcc1eae214222bdb8107b0ddbc11d,,https://thenimetyou.com/products/the-giving-essence,
Rice Ferment Filtrate (Sake),"Rice Ferment Filtrate ",Plant,Brightening,"This ingredient is rich in enzymes and amino acids to nourish your skin, while giving your skin a brightening boost.",https://www.notion.so/Soothing-Tea-Cleansing-Gel-f8e7d685b05c4a87b423db99bb15be62,,https://thenimetyou.com/products/soothing-tea-cleansing-gel,
Seaberry/Sea Buckthorn Oil,Hippophae Rhamnoides Oil,Plant,Cleansing,"Rich in fatty acids such as stearic acid, oleic acid, linoleic acid, and omega-6. The bright orange coloring is due to high lycopene and carotenoid content. With time the coloring will fade but does not diminish the effectiveness of the cleanser.",https://www.notion.so/Living-Cleansing-Balm-86b5d7c5fbfb436e8c3710d8dbeabfbf,,https://thenimetyou.com/products/living-cleansing-balm,
Squalane,,Naturally Produced from Body,"Cell Regeneration, Hydration","Squalane is derived from squalene, a hydrocarbon that is naturally produced by our bodies to maintain moisture in our skin. It also boosts cell regeneration and allows other ingredients to absorb more efficiently into skin. Our squalane is plant-based.",https://www.notion.so/Birch-Milk-Refining-Toner-ee800ab6c95a4275ac56ea0cfd46fcfd,,https://thenimetyou.com/products/birch-milk-refining-toner,
Tea Tree Leaf,Melaleuca Alternifolia (Tea Tree) Leaf Extract,Plant,"Acne, Soothing / Anti Inflmmatory","This herbal antioxidant is commonly used for its antimicrobial and anti-inflammatory effects, as a gentle treatment for acne-prone skin.",https://www.notion.so/Soothing-Tea-Cleansing-Gel-f8e7d685b05c4a87b423db99bb15be62,,https://thenimetyou.com/products/soothing-tea-cleansing-gel,
Vitamin C,,,,,,,,
Vitamin E,Tocopheryl Acetate,Vitamin,Anti-Aging / Antioxidant,"Vitamin E is an essential component of healthy skin, that prevents premature aging due to its powerful antioxidant properties.",https://www.notion.so/Living-Cleansing-Balm-86b5d7c5fbfb436e8c3710d8dbeabfbf,,https://thenimetyou.com/products/living-cleansing-balm,
Xilogel,,,,,,,,
Lactic Acid,,"Acid, Naturally Produced from Body","Exfoliating, Hydration","Lactic Acid is an alpha-hydroxy acid (AHA) found in our bodies and also dairy products. At low concentrations, it draws in moisture, and at high levels, it can dissolve skin cells to help exfoliate surface-level skin gently.",,"https://www.notion.so/The-Sun-d1c02eac7a1947b992bea5ccd8140fa4, https://www.notion.so/Retinol-ba6a4632dcef49a787d3a219b12baf63",https://www.byrdie.com/lactic-acid-for-skin,"https://www.notion.so/Glycolic-Acid-0cd31c5236164171a40784f069ecbfa6, https://www.notion.so/Mandelic-Acid-f923f84e58e34b6ebf2c1f4bc4a17abc"
The Sun,,,,,,,,
Retinol,,,,,,,,
Glycolic Acid,,,,,,,,
Mandelic Acid,,,,,,,,
