brand,productName,category,usedFor,ingredientsUrl,price,description,instructions,fullIngredientList,img,size,ingredientList
Glossier,Invisible Shield,Suncare,Anti-Aging,https://www.glossier.com/products/invisible-shield,25,A lightweight SPF 35 water-gel formula that feels like a serum and protects against sunburn,"After your last skincare step and before applying anything else, pump out the Invisible Shield and apply over your entire face. For optimal protection, apply 15 minutes before sun exposure and reapply at least every two hours afterwards.","Avobenzone 3%, 
Homosalate 6%,
 Octisalate 5%, Water, Butyloctyl Salicylate, Dipropylene Glycol, Methyl Trimethicone, Biosaccharide Gum-4, Caprylyl Methicone, Propanediol, Bis-Ethylhexyl Hydroxydimethoxy Benzylmalonate, Betaine, Acrylates Copolymer, Ammonium AcryloyldimethyltaurateNP Copolymer, Hydroxyacetophenone, Phenoxyethanol, Hydrolyzed Wheat Protein/PVP Crosspolymer, Dibutyl Lauroyl Glutamide, Dibutyl Ethylhexanoyl Glutamide, Citrus Aurantium Dulcis (Orange) Peel Oil, Dipotassium Glycyrrhizate, Carbomer, Tocopheryl Acetate, Aminomethyl Propanol, Butylene Glycol, Hippophae Rhamnoides Fruit Extract Disodium EDTA, Pentylene Glycol, Aloe Barbadensis Leaf Extract, Silica, Bioflavonoids, Potassium Sorbate, Hydroxyphenyl Propamidobenzoic Acid, Brassica Oleracea Italica (Broccoli) Extract, Ethylhexylglycerin, Camellia Sinensis Leaf Extract, Ascorbyl Palmitate",https://static-assets.glossier.com/production/spree/images/attachments/000/003/754/portrait_normal/InvisibleShield.jpg?1556563183,30 mL / 1 fl oz,
Glossier,Priming Moisturizer Rich,Moisturizer,"Hydration, Redness",https://www.glossier.com/products/priming-moisturizer-rich,35,"A rich, deeply moisturizing yet fast-absorbing face cream for day or night","Massage Priming Moisturizer Rich into your face using upward and outward strokes.
Repeat as needed. Can be used under makeup, as a night cream before bed, or to combat seasonally dry skin.","Aqua/Water/Eau, Neopentyl Glycol Diheptanoate, Propanediol, Glycerin, Caprylic/Capric Triglyceride, Cetyl Alcohol, Stearyl Alcohol, Tridecyl Neopentanoate, Squalane, Dimethicone, Cocoglycerides, Cetyl Palmitate, Glyceryl Stearate, Butyrospermum Parkii (Shea) Butter, Aleurites Moluccanus Seed Oil, Ceramide NP, Ceramide AP, Sodium Hyaluronate, Panthenol, Astrocaryum Murumuru Seed Butter, Mel/Honey Extract/Extrait de Miel, Pyrus Malus (Apple) Fruit Extract, Tropaeolum Majus Flower/Leaf/Stem Extract, Boswellia Serrata Extract, Camellia Sinensis Leaf Extract, Sodium Benzoate, Lavandula Angustifolia (Lavender) Oil, Chondrus Crispus Extract, Ethylhexylglycerin, PEG-40 Stearate, Phenoxyethanol, Sodium Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Butylene Glycol, Polyisobutene, Tocopheryl Acetate, Ceteareth-20, Caprylyl Glycol, Xanthan Gum, Trisodium Ethylenediamine Disuccinate, Hexylene Glycol, Caprylyl/Capryl Glucoside, Aspalathus Linearis Extract, Tetrapeptide-14, Linalool",https://static-assets.glossier.com/production/spree/images/attachments/000/003/762/portrait_normal/PMR.jpg?1556563916,50 mL / 1.7 fl oz,
Glossier,Priming Moisturizer,Moisturizer,"Hydration, Redness",https://www.glossier.com/products/priming-moisturizer,22,"A moisturizer that instantly brings out the best in your skin, making it fresh and glowing","After cleansing, massage Priming Moisturizer into your face by using gentle upward and outward strokes.","Aqua/Water/Eau, Tridecyl Stearate, Neopentyl Glycol Dicaprylate/Dicaprate, Stearic Acid, Propanediol, Tridecyl Trimellitate, Palmitic Acid, Glyceryl Stearate SE, Tropaeolum Majus Flower/Leaf/Stem Extract, Phenyl Trimethicone Lonicera Japonica (Honeysuckle) Flower Extract, Lonicera Caprifolium (Honeysuckle) Flower Extract, Butyrospermum Parkii (Shea) Butter, Aloe Barbadensis Leaf Juice, Tremella Fuciformis Sporocarp Extract, Beeswax/Cera Alba/Cire d'Abeille, Mel/Honey Extract/Extrait de Miel, Boswellia Serrata Extract, Phospholipids, Camellia Sinensis Leaf Extract, Aspalathus Linearis Leaf Extract, Tetrapeptide-14, Tocopheryl Acetate, Retinyl Palmitate, Ascorbyl Palmitate, Hyaluronic Acid, Glycerin, Polyacrylamide, Trisodium Ethylenediamine Disuccinate, Butylene Glycol, C13-14 Isoparaffin, Citric Acid, Cetyl Palmitate, Betaine, Potassium Sorbate, Ceteareth-20, Laureth-7, Phenoxyethanol, Sodium Benzoate",https://static-assets.glossier.com/production/spree/images/attachments/000/003/763/portrait_normal/PrimingMoisturizer.jpg?1556563971,50 mL / 1.7 fl oz,
Glossier,Milky Oil,Cleanser,Cleansing,https://www.glossier.com/products/milky-oil,12,"A gentle makeup remover that melts off and lifts away long-wearing and waterproof formulas, without rubbing or tugging the skin","Before use, shake Milky Oil well. Then, squeeze product onto facial cotton or cotton swab until pad is fully absorbed.
Press the saturated cotton pad or swab against eyes, lips, or anywhere else on the face where you've applied waterproof makeup. Gently wipe makeup and grime away.","Aqua/Water/Eau, Isohexadecane, PEG-40 Hydrogenated Castor Oil, Panthenol, Glycerin, PPG-26-Buteth-26, Symphytum Officinale Root Extract, Sodium Benzoate, Disodium EDTA, Citric Acid, Sodium Chloride",https://static-assets.glossier.com/production/spree/images/attachments/000/002/970/portrait_normal/01_ShopGrid.jpg?1550003446,100 mL / 3.4 fl oz,
Glossier,Super Bounce,Serum,Hydration,https://www.glossier.com/products/super-bounce,28,A daily serum for mega hydration on all levels,"After cleansing and any toner-type steps, use the Super Bounce dropper to apply 3–4 drops of serum into hands and gently press onto skin.","Aqua/Water/Eau, Biosaccharide Gum-2, Ethylhexyl Palmitate, Glycerin, Caprylic/Capric Triglyceride, Propanediol, Sodium Hyaluronate, Panthenol, Methyl Glucose Sesquistearate, Hexylene Glycol, Xanthan Gum, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Disodium EDTA, Caprylyl Glycol, Chlorphenesin, Sodium Hydroxide",https://static-assets.glossier.com/production/spree/images/attachments/000/003/768/portrait_normal/super_bounce_reform_hand.jpg?1557759614,30 mL / 1 fl oz,
Glossier,Super Glow,Serum,"Brightening, Uneven Skin Tone",https://www.glossier.com/products/super-glow,28,"A daily serum that gives your skin that lit-from-within look, all the time","After cleansing and any toner-type steps, use the Super Glow dropper to apply 3–4 drops of serum into hands and gently press onto skin.","Aqua/Water/Eau, Magnesium Ascorbyl Phosphate, Propanediol, Dimethicone, Glyceryl Stearate SE, Polyglyceryl-10 Oleate, Caprylic/Capric Triglyceride, Cetyl Alcohol, Glycerin, Magnesium PCA, Simmondsia Chinensis (Jojoba) Seed Oil, Butyrospermum Parkii (Shea) Butter, Helianthus Annuus (Sunflower) Seed Oil, Evodia Rutaecarpa Fruit Extract, Melia Azadirachta Flower Extract, Melia Azadirachta Leaf Extract, Corallina Officinalis Extract, Coccinia Indica Fruit Extract, 1,2-Hexanediol, Sodium Stearoyl Lactylate, Betaine, Sodium Citrate, Xanthan Gum, Caprylhydroxamic Acid",https://static-assets.glossier.com/production/spree/images/attachments/000/003/769/portrait_normal/super_glow_reform_hand.jpg?1557759533,30 mL / 1 fl oz,
Glossier,Zit Stick,Acid,Acne,https://www.glossier.com/products/zit-stick,14,A portable pen that clears zits at high speed with a quick-drying formula you can reapply up to 3 times a day,"Click the pen 3–6 times maximum and glide rollerball directly onto zit, limiting to a small surface area. The formula should look translucent, not opaque.
Apply 1–3 times per day until your breakout has cleared up.","Benzoyl Peroxide 5.0%, Aqua/Water/Eau, Dimethyl Isosorbide, Glycerin, Acrylamide/Sodium Acryloyldimethyltaurate Copolymer, Propanediol, Niacinamide, Capryloyl Salicylic Acid, Butylene Glycol, Melaleuca Alternifolia Leaf Oil, Cucumis Sativus (Cucumber) Fruit Extract, Isohexadecane, Saccharide Isomerate, Xanthan Gum, Polysorbate 80, Polyglyceryl-2 Isostearate, Hydroxyacetophenone, 1,2-Hexanediol, Caprylyl Glycol, Sodium Citrate, Citric Acid, Ethylhexylglycerin, Disodium EDTA, Diethylhexyl Sodium Sulfosuccinate, Carbomer, Sodium Hydroxide, Dimethicone, Sorbitan Stearate, PEG-40 Stearate, Phenoxyethanol, Silica, Tocopherol",https://static-assets.glossier.com/production/spree/images/attachments/000/002/197/portrait_normal/ZitStick_US_01.jpg?1555443208,3.5 mL // 0.12 fl oz,
Glossier,Moisturizing Moon Mask,Mask,"Brightening, Hydration",https://www.glossier.com/products/moisturizing-moon-mask,22,"A creamy, dreamy, works-on-all-skin-types mask for deep hydration","Smooth a thick layer of the mask onto freshly cleansed skin avoiding the eye area. Relax for 20 minutes. Rinse thoroughly with lukewarm water, then pat skin dry.","Aqua/Water/Eau, Dimethicone, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Glycerin, Polysorbate 20, Urea, Butylene Glycol, Butyrospermum Parkii (Shea) Butter, Glycine Soja (Soybean) Oil, Cetyl Alcohol, Cyclopentasiloxane, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Dimethicone/Vinyl Dimethicone Crosspolymer, Phenoxyethanol, Squalane, Tropaeolum Majus Flower/Leaf/Stem Extract, Cyclohexasiloxane, Mel/Honey/Miel, Tocopheryl Acetate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Benzophenone-4, Glyceryl Stearate, PEG-100 Stearate, Betaine, Polysorbate 60, Aloe Barbadensis Leaf Juice, Disodium EDTA, Ethylhexylglycerin, Sodium Hydroxide, Glycyrrhiza Glabra (Licorice) Root Extract, Tremella Fuciformis Sporocarp Extract, Beta-Glucan, 1,2-Hexanediol, Caprylyl Glycol, Citrus Limon (Lemon) Fruit Extract, Hyaluronic Acid",https://static-assets.glossier.com/production/spree/images/attachments/000/000/129/portrait_normal/Glossier-Moisturizing-Moon-Mask-2.jpg?1464971219,3 fl oz,
Glossier,Mega Greens Galaxy Pack,Mask,"Acne, Oiliness",https://www.glossier.com/products/mega-greens-galaxy-pack,22,A deeply cleansing and detoxifying mask to help manage excess oil,"Apply a thick layer of the mask onto freshly cleansed skin, avoiding the eye area and chill out for 20 mins.
Rinse off the mask thoroughly with lukewarm water then pat skin dry.","Water/Aqua/Eau, Kaolin, Glycerin, Magnesium Aluminum Silicate, Cetearyl Alcohol, Persea Gratissima (Avocado) Oil, Caprylic/Capric Triglyceride, Polysorbate 60, Phenoxyethanol, Oryza Sativa (Rice) Bran Extract, Xanthan Gum, Citrus Aurantium Amara (Bitter Orange) Peel Powder, Citric Acid, Helianthus Annuus (Sunflower) Extract, Ethylhexylglycerin, Trisodium Ethylenediamine Disuccinate, Potassium Sorbate, Linum Usitatissimum (Linseed) Seed Oil, Aloe Barbadensis Leaf Juice, Tocopherol, Rosmarinus Officinalis (Rosemary) Leaf Extract, Lecithin, Vaccinium Myrtillus Fruit Extract, Punica Granatum (Pomegranate) Fruit Extract, Morinda Citrifolia Fruit Extract, Lycium Barbarum Fruit Extract, Garcinia Mangostana Fruit Extract, Euterpe Oleracea Fruit Extract, Aronia Arbutifolia Fruit Extract, Aristotelia Chilensis Fruit Extract, Lepidium Sativum Sprout Extract, Propanediol, Chlorphenesin, Sorbic Acid, Benzoic Acid, Spinacia Oleracea (Spinach) Leaf Extract, Petroselinum Crispum (Parsley) Leaf Extract, Chlorophyllin-Copper Complex (CI 75810)",https://static-assets.glossier.com/production/spree/images/attachments/000/000/116/portrait_normal/Glossier-Mega-Greens-Galaxy-Pack-2.jpg?1464971153,3 fl oz,
Glossier,Soothing Face Mist,Face Spray,Hydration,https://www.glossier.com/products/soothing-face-mist,15,A hydrating face spray that soothes stressed skin (and stressed humans),"Start by closing your eyes and gently misting all over your face.
Repeat as desired throughout the day whenever you need a refresh.","Aqua/Water/Eau, Rosa Centifolia Flower Water, Propanediol, 1,2-Hexanediol, Glycerin, Pyrus Malus (Apple) Fruit Extract, Lonicera Japonica (Honeysuckle) Flower Extract, Caprylhydroxamic Acid, Disodium EDTA, Aloe Barbadensis Leaf Juice, Lonicera Caprifolium (Honeysuckle) Flower Extract, Sodium Citrate, Citric Acid, Potassium Sorbate, Sodium Benzoate",https://static-assets.glossier.com/production/spree/images/attachments/000/003/766/portrait_normal/SoothingFaceMist.jpg?1556564209,95 mL / 3.2 fl oz,
Glossier,Super Pure,Serum,"Acne, Redness, Scarring, Uneven Skin Tone",https://www.glossier.com/products/super-pure,28,"Our face serum rich in niacinamide (aka vitamin B3) and zinc that targets troubled, blemish-prone skin and uneven texture.","After cleansing and any toner-type steps, use the Super Pure dropper to apply 3–4 drops of serum into hands and gently press onto skin.","Aqua/Water/Eau, Niacinamide, Glycerin, Propanediol, Zinc PCA, Lonicera Japonica (Honeysuckle) Flower Extract, Lonicera Caprifolium (Honeysuckle) Extract, Citric Acid, Allantoin, Hydroxyethylcellulose",https://static-assets.glossier.com/production/spree/images/attachments/000/003/770/portrait_normal/super_pure_reform_hand.jpg?1557759584,30 mL / 1 fl oz,
The Ordinary,EUK 134 0.1%,Serum,"Anti-Aging, Redness",https://theordinary.deciem.com/product/rdn-euk-134-01pct-30ml?redir=1,8.8,A formula that has been shown to reduce visible redness and protect against appearance of UV damage.,"Apply alone or after water-based serums, before oils or heavier creams. Do not use with other retinoid treatments. Avoid unprotected solar exposure.","Propanediol, Ethylbisiminomethylguaiacol manganese chloride",https://www.sephora.com/productimages/product/p442833-av-01-zoom.jpg?imwidth=1166,30 mL / 1 fl oz,
